Age_Group,Sex,PAL,Energy_kcal,Protein_g_per_kg,Fett_g,SatFat_g,Carbs_g,Sugar_g
Default,Unspecified,Unspecified,2000,0.8,66.7,22.2,250.0,50.0
19-24,Männlich,1.4,2400,0.8,80.0,26.7,300.0,60.0
19-24,Weiblich,1.4,1900,0.8,63.3,21.1,237.5,47.5
25-50,Männlich,1.4,2300,0.8,76.7,25.6,287.5,57.5
25-50,Weiblich,1.4,1800,0.8,60.0,20.0,225.0,45.0
51-64,Männlich,1.4,2200,0.8,73.3,24.4,275.0,55.0
51-64,Weiblich,1.4,1700,0.8,56.7,18.9,212.5,42.5
65+,Männlich,1.4,2100,1.0,70.0,23.3,262.5,52.5
65+,Weiblich,1.4,1700,1.0,56.7,18.9,212.5,42.5
19-24,Männlich,1.6,2800,0.8,93.3,31.1,350.0,70.0
19-24,Weiblich,1.6,2200,0.8,73.3,24.4,275.0,55.0
25-50,Männlich,1.6,2700,0.8,90.0,30.0,337.5,67.5
25-50,Weiblich,1.6,2100,0.8,70.0,23.3,262.5,52.5
51-64,Männlich,1.6,2500,0.8,83.3,27.8,312.5,62.5
51-64,Weiblich,1.6,2000,0.8,66.7,22.2,250.0,50.0
65+,Männlich,1.6,2500,1.0,83.3,27.8,312.5,62.5
65+,Weiblich,1.6,1900,1.0,63.3,21.1,237.5,47.5
19-24,Männlich,1.8,3100,0.8,103.3,34.4,387.5,77.5
19-24,Weiblich,1.8,2500,0.8,83.3,27.8,312.5,62.5
25-50,Männlich,1.8,3000,0.8,100.0,33.3,375.0,75.0
25-50,Weiblich,1.8,2400,0.8,80.0,26.7,300.0,60.0
51-64,Männlich,1.8,2800,0.8,93.3,31.1,350.0,70.0
51-64,Weiblich,1.8,2200,0.8,73.3,24.4,275.0,55.0
65+,Männlich,1.8,2800,1.0,93.3,31.1,350.0,70.0
65+,Weiblich,1.8,2100,1.0,70.0,23.3,262.5,52.5
